TweetID	UserId	Tweet
440338729215860736	21327323	11:11.....make a wish.......night night
440328583051870208	21327323	@YiseBabee i wish i could be ignorant
440295872622903296	270181505	Bout to get my Fat ON
440299557725814784	418322879	Me encantaria que me vieras, de la manera que yo te veo #OneDay
439643191923322881	418322879	@CalvaryArlCC Do you guys have a spanish department or services???
439640270477340672	418322879	Going asleep with papi's music on skype, even thoe our call hang up #Priceless #DistanceDontMatter
439514202370088961	418322879	Lets have a date me and you for ever and ever  #NeverAlone
440370839905513472	270181505	Good Night World y'all be blessed
440225118799671296	270181505	Good Afternoon World
439867867828215808	270181505	@Liberty316 Ur B-Day was yesterday too fam!?
439810705517072384	270181505	Good Morning World y'all be blessed
440322314723659776	345603205	Not Found
440193089140195328	345603205	Not Found
440191844660834304	345603205	Not Found
440191655820685313	345603205	Not Found
440189393740234753	345603205	Not Found
440186770706427904	345603205	Not Found
440345429352677377	76523773	Not Found
440185285331005441	76523773	Am going to work really hard!!! No matter what is going in my life
439976199851233280	76523773	my mom: me puestes mandar unos gotero que se llama "me vale madre" jajajaja
439974079160795136	76523773	this can be happing to me Noooooo wake up girl!!!
439973669675077632	76523773	Not Found
439255631074037762	76523773	Un poco de miedo 
439225192544346112	76523773	"Smile cause your smile is amazing" 
438863114612658176	76523773	Yo no soy de botas vaquera me miro súper mal jajaja
438816620790575104	76523773	I already know what I want for my b-day :)
438503315270164480	76523773	I just want to slap my self jaja stop it Alejandra stop it
438503218201362432	76523773	Not Found
438501153198723072	76523773	I want to go to san Antonio!!! and to hill country and san marcos too
438291573948702721	76523773	I want to sleep more 
438111629897527296	76523773	I want friday to be here already :) can wait I just hope it fit 
437998591898968064	76523773	I need that yesterday :)
437807707936944128	76523773	Que rico me duele mi cuerpo #goodexercise
437772008151986176	76523773	I hope it can happen!!! if not it ok pero if it does :) please please let it happen <3
437452976718749696	76523773	A dormir goodnight 
440331254219538433	21327323	@alexiasalazar8 meow
440326494007459840	21327323	lol ELLEN saying she has no money to tip the pizza boy :')
439799636346159104	196432610	@biittchmiko Okay I'm going send it to you or its all the same thing
439799072241639425	196432610	@biittchmiko Okay, Priscilla gave me a coupon I could used it, but I can't print it.
439766894657036289	196432610	@Moniii_07 @daang_priscilla Sorry girls I didn't know you all where going to call me:(
439650080262344704	196432610	I think I'll just go to bed.
439640537235070976	196432610	Hay Dios, I'm tired.
439628344544354305	196432610	Wow, I love oomf she makes me laugh (:
439587247726153729	196432610	Mallorie and Megan are freaking hilarious...
439453421574184961	196432610	@biittchmiko I'll be there like at 4 Okay give me a discount lol (:
439427393573224448	196432610	Duele el amor sin ti, duele hasta matar.
