	tweetId	userId	tweet
0	426559582895230976	169403434.0	Bambino :D
1	416002744642576385	169403434.0	@JhonCristian ♡ <<<
2	433073646857228288	1160520883.0	@Audreyy_torres mhmmm -.-
3	432407522633191424	1160520883.0	Ummm...
4	430936532803788800	1160520883.0	Ummm
5	430545447564767235	1160520883.0	@Monimaravilla19 *jk
6	427687490909007872	1160520883.0	Ewwww
7	425758433883590656	1160520883.0	@Audreyy_torres whoaaaa lol
8	424554794477293569	1160520883.0	@sanluispotoyees .?..
9	423228647290318848	1160520883.0	@Yessy1584G -.-
10	422945058975780864	1160520883.0	@sanluispotoyees *183... -.-
24	437826733731897346	1160520883.0	Work Tomorrow! 10 days till payday!;)
25	437817201672728577	1160520883.0	Today was fun!
26	437817125160251392	1160520883.0	Tired.
27	437447666486624257	1160520883.0	@Damaariz_ lmfao xD
28	437446886383812608	1160520883.0	@Damaariz_ #stopmexicangirls2014 lol
29	436711090999660545	1160520883.0	Anyone can tell you what you Need to be... but it's up to you to choose what You Want to be:)
30	436710510377979904	1160520883.0	Goes to show.. you either sit there & let others harsh words dictate your life.. or you challenge them & prove them wrong!:)
31	436710057418309632	1160520883.0	Might not be continuing w school but I'm happy w my life:) college ain't for everybody I'm more of a hands on laborer kind of person!
32	436709557515984896	1160520883.0	Graduated.. didn't become a criminal (except for the few traffic violations lol).. I have a job.. take care of my fam & have a wonderful GF
33	435958403878232064	1160520883.0	Been there done that... lol
34	435184333683302400	1160520883.0	@Monimaravilla19 MY NIGGAAA
35	434712531748139008	1160520883.0	Sometimes I wish life had been easy.. but then again.. if it was.. I wouldn't be who I am today! I'd be an arrogant obnoxious asshole! :)
36	434712020324077568	1160520883.0	Their parents are so connected they'll reinstate them into college or find them a badass high paying job..
37	434711744707981312	1160520883.0	Them Rich kids got it made... they're born into wealth, don't gotta work to buy or fix their car, college is paid for & if they fail...
38	434710466586095617	1160520883.0	But little did you know.. that happiness.. it was just a front they put on to distract the real struggle in life..
39	434709844948307968	1160520883.0	It's funny as a kid you wanted to be all grown up.. you wanted a job, a car, a house, a family because you saw how happy the adults were..
40	434709415908757504	1160520883.0	I like to dig into my past & remember all the good times I had.. because my childhood is something that I ended fairly quick..
41	434198350221430784	1160520883.0	@Jason100Fires she's feelinh down tell her she'll feel better at least one hit lmfao xD
42	434196381985546241	1160520883.0	@Jason100Fires get her high lmao
43	434179840204238848	1160520883.0	@_shedopeee but you do that's why you replied lol
44	434175111176806400	1160520883.0	@_shedopeee lol EXACTLY! /.- ur too slow to get what I said lol jk
45	434174319338328064	1160520883.0	@_shedopeee girl swerveeee up out my laneeee!!! We in the fast lane doin 100 while yall stuck in the slow lane crawlin x] lol jk
46	433821199206862848	1160520883.0	@Monimaravilla19 and got us to chill against one another:) he was kind of inspiring in some aspects:)
47	433819036124590080	1160520883.0	@Monimaravilla19 I think anyone who got to meet him misses him.. he was so kind and respectful to everybody:)
48	433099209693085696	1160520883.0	Ohhh sheeeettttt nouuuu not this oneeee:((((((
49	433087898309500928	1160520883.0	@Lesambam NIGGAAA!!! BOUT TIMEEE!!! NOW YOU'RE WIFEY MATERIALLL!!! LOL but seriously though some breathing room only makes me want you MORE
50	433086762106101760	1160520883.0	@Lesambam sure areee
51	433073516699602944	1160520883.0	This is why I don't tell you nothin.. swear you take everything the wrong way... lighten up.. get that stick outta ur ass...
52	433070893472837632	1160520883.0	My GF got it in the bag! I ain't goin nowhereees!!! Even if I tried (I won't of course) specially since my gf swore shed cut my 8==D Off '0'
53	433069191566856192	1160520883.0	& know how to cook!
54	433069136625672192	1160520883.0	If I were 2 cheat on my Gf I dnt think it'd ever happen! Lol I'm super picky! u gotta have brains & beauty 2 impress me! & a  made of Gold
55	433067740316696576	1160520883.0	Giving someone a smile! That's all that matters!! It goes a long way!!:) Smiling is contagious:D
56	433066873018535937	1160520883.0	Idk.. oh well.. at least I'm making ppl smile & making them feel better about themselves:)..
57	433066459770540032	1160520883.0	That causes me to have High Expectations from ppl & when they let me down.. I Crash & Burn MISERABLYYY :(
58	433066151120093185	1160520883.0	Hate being so detailed when describing a person because I hit their qualities spot on & when they describe me they make me sound so Blah -.-
59	433065450163814401	1160520883.0	the fact that my girlfriend is so dull when she says sweet things -.- <<< but... at least she says em..
60	433043700944343040	1160520883.0	@elizaaaabethhh_ Gorgeous
61	432555842131341313	1160520883.0	@Rosie_Amanda lmao uhhh how bout... NO! haha
62	432420147140124672	1160520883.0	@Lesambam lmao my sister.. xD
63	432411720632369155	1160520883.0	Lol its all gravy bbyyy haha ;)
65	432411143504543744	1160520883.0	I think I know why my gf posts ugly pics of me.. cuz last time she said k when she posts cute pics of me her friends were favoriting em.. hm
66	432409810433085440	1160520883.0	@Lesambam FUCK YOUUUUUUUUUUUUUUUUU!!! You ALWAYS post the ugliest pics of me.... like wtf!!!
67	432407855577055233	1160520883.0	I'm scared... lol jk... but still wtf...
68	432407452634447872	1160520883.0	Hahahahahaha Creeper Much...
69	432407375161462785	1160520883.0	Wtf...
70	432026295367516161	1160520883.0	@Damaariz_ falling asleep o.-
71	432025926470086656	1160520883.0	@Damaariz_ hi:)
72	431633626833223680	1160520883.0	@Monimaravilla19 Autocorrect don't like you lol
73	431632884005208066	1160520883.0	@Monimaravilla19 I'm Sayinnn!!! a nigga was forced to go to school like a eskimo & shit -.-
74	431294303483465728	1160520883.0	Priorities.. get them mf's in order...
75	431292573488259072	1160520883.0	You can't come at me asking for respect when you clearly don't give it to me... you earn that shit!!
76	431291943986159616	1160520883.0	If a guy gives u his All, don't shorthand him! We don't treat every girl like a Princess.. so if u get that royal treatment appreciate it..
77	431247800832389120	1160520883.0	Waking up early is not my thing but anything to get that money.. gotta get my parents out the struggle:)
78	431247502709624832	1160520883.0	I'm so tired...
79	431216175494602752	1160520883.0	Just got home & Bitch I'm Paiddd $$$$$ lol jk imma broke ass mexican cause I had to fix my truck:( #Trucks #Love #MexicanProbs
80	430937274570653696	1160520883.0	These kids that get cars cause their parents bought em a car, are some annoying little shits! I had to work my ass off to get my truck.. -.-
81	430936673883414528	1160520883.0	I feel so blank rn.
82	430936621366534144	1160520883.0	Idk
83	430936490575556608	1160520883.0	Hi
84	430549192763637761	1160520883.0	@FriendlyAssh0le: People are too fucking sensitive. If I offend you, get over it. Stop being a little bitch. Exactly! Fuckin Pansies!!!
85	430546962673180674	1160520883.0	@brissamayen of course its true because if we all got along we would all b the same & that's just boring.. having differences is way better
86	430546018241761280	1160520883.0	@Audreyy_torres that's a SUV... Lol
87	430545905318498305	1160520883.0	@brissamayen because then life would be boring duhhhh lol jk
88	430544483524952064	1160520883.0	@sanluispotoyees lmfao xD
89	430543968963547136	1160520883.0	White girls be extra thirsty mannnn!!!
90	430541411092414464	1160520883.0	@Audreyy_torres an 02 F150!
91	430531408335872000	1160520883.0	@Lopezaniaaa yes cause @North_Eastt was a bad influence & always distracted you from doing your work -.- lol
92	430530423811108866	1160520883.0	@sanluispotoyees its your job to say that though
93	430528852566097920	1160520883.0	@sanluispotoyees Swearrr!!!
94	430528660064333824	1160520883.0	@sanluispotoyees ewww I looked fugly but thanks boo
95	430503301411385344	1160520883.0	S/O to @Lopezaniaaa for turning 16 today!:) You're growing up so fast kid! I hope all your wishes come true on this day:) Miss Ya!:)
96	430498250601148416	1160520883.0	@elizaaaabethhh_ yes its the 765 one
97	430497836258439169	1160520883.0	@elizaaaabethhh_ text me!!!
98	430493502611263488	1160520883.0	@elizaaaabethhh_ uggghhh okay!!! Is Thursday after 5 good?
99	430492719782170624	1160520883.0	All these rappers follow me so I can hear their mixtape & I'm just like nooo I gave up on Rap Music a LOOOOONG time agoooo...
