TweetID	UserId	Tweet
4.40338729215861E+017	21327323	11:11.....make a wish.......night night
4.4032858305187E+017	21327323	@YiseBabee i wish i could be ignorant
4.40295872622903E+017	270181505	Bout to get my Fat ON
4.40299557725815E+017	418322879	Me encantaria que me vieras, de la manera que yo te veo #OneDay
4.39643191923323E+017	418322879	@CalvaryArlCC Do you guys have a spanish department or services???
4.39640270477341E+017	418322879	Going asleep with papi's music on skype, even thoe our call hang up #Priceless #DistanceDontMatter
4.39514202370089E+017	418322879	Lets have a date me and you for ever and ever  #NeverAlone
4.40370839905514E+017	270181505	Good Night World y'all be blessed
4.40225118799671E+017	270181505	Good Afternoon World
4.39867867828216E+017	270181505	@Liberty316 Ur B-Day was yesterday too fam!?
4.39810705517072E+017	270181505	Good Morning World y'all be blessed
4.4032231472366E+017	345603205	Not Found
4.40193089140195E+017	345603205	Not Found
4.40191844660834E+017	345603205	Not Found
4.40191655820685E+017	345603205	Not Found
4.40189393740235E+017	345603205	Not Found
4.40186770706428E+017	345603205	Not Found
4.40345429352677E+017	76523773	Not Found
4.40185285331005E+017	76523773	Am going to work really hard!!! No matter what is going in my life
4.39976199851233E+017	76523773	"my mom: me puestes mandar unos gotero que se llama ""me vale madre"" jajajaja"
4.39974079160795E+017	76523773	this can be happing to me Noooooo wake up girl!!!
4.39973669675078E+017	76523773	Not Found
4.39255631074038E+017	76523773	Un poco de miedo 
4.39225192544346E+017	76523773	Smile cause your smile is amazing 
4.38863114612658E+017	76523773	Yo no soy de botas vaquera me miro súper mal jajaja
4.38816620790575E+017	76523773	I already know what I want for my b-day :)
4.38503315270165E+017	76523773	I just want to slap my self jaja stop it Alejandra stop it
4.38503218201362E+017	76523773	Not Found
4.38501153198723E+017	76523773	I want to go to san Antonio!!! and to hill country and san marcos too
4.38291573948703E+017	76523773	I want to sleep more 
4.38111629897527E+017	76523773	I want friday to be here already :) can wait I just hope it fit 
4.37998591898968E+017	76523773	I need that yesterday :)
4.37807707936944E+017	76523773	Que rico me duele mi cuerpo #goodexercise
4.37772008151986E+017	76523773	I hope it can happen!!! if not it ok pero if it does :) please please let it happen <3
4.3745297671875E+017	76523773	A dormir goodnight 
4.40331254219538E+017	21327323	@alexiasalazar8 meow
4.4032649400746E+017	21327323	lol ELLEN saying she has no money to tip the pizza boy :')
4.39799636346159E+017	196432610	@biittchmiko Okay I'm going send it to you or its all the same thing
4.39799072241639E+017	196432610	@biittchmiko Okay, Priscilla gave me a coupon I could used it, but I can't print it.
4.39766894657036E+017	196432610	@Moniii_07 @daang_priscilla Sorry girls I didn't know you all where going to call me:(
4.39650080262345E+017	196432610	I think I'll just go to bed.
4.39640537235071E+017	196432610	Hay Dios, I'm tired.
4.39628344544354E+017	196432610	Wow, I love oomf she makes me laugh (:
4.39587247726154E+017	196432610	Mallorie and Megan are freaking hilarious...
4.39453421574185E+017	196432610	@biittchmiko I'll be there like at 4 Okay give me a discount lol (:
4.39427393573225E+017	196432610	Duele el amor sin ti, duele hasta matar.
4.39426702742024E+017	196432610	Lastnight I cried, till I fell asleep.
4.39423372011635E+017	196432610	Lastnight, talking a David about all my problems, the shit I've been through, I knew he's a good friend.
4.39422437352956E+017	196432610	& lastnight was one of those days.
4.39422161992679E+017	196432610	When I'm depress, I fall asleep early,
4.39283149197939E+017	196432610	I'm done, I'm done.
4.39277655951544E+017	196432610	I love Alicia no matter how much shit we go through we always talk about and where there like sisters (:
4.39150341012337E+017	196432610	Only music will make me happy!!!!!!
4.39148814025249E+017	196432610	I love to dance to Reggeton>>>>
4.38904132821213E+017	196432610	His dick was small, that all there saying.
4.4027949354283E+017	156036283	deseo acabar con todo...
4.40161332391059E+017	156036283	@quinti14 ouchh
4.40135783685829E+017	156036283	reaccióna encabronada como si el sueño fuese verdad ..jajajaja
4.39922528840982E+017	156036283	mis padres discutiendo quien grabo mejor el baile.. jajajaja
4.40330425232523E+017	156036283	@alexandrarosado el mio esta tan chaputeao que me da pena
4.4027949354283E+017	156036283	deseo acabar con todo...
4.40279227036729E+017	156036283	@NEWdanicsierra em que?
4.40165319995589E+017	156036283	@alexandrarosado @mememecaigo que? voy a morir! yo ni se como hacerlo! :'(
4.40161584581968E+017	156036283	@mememecaigo dime que eso no es para mañana y que es para el 5:(
4.4015720273807E+017	156036283	@quinti14 ouchh..como te lo doblaste?
4.40141155066724E+017	156036283	no poder ir a la playa porque no he terminado de estudiar me duele :/
4.40135783685829E+017	156036283	reaccióna encabronada como si el sueño fuese verdad ..jajajaja
4.39922528840982E+017	156036283	mis padres discutiendo quien grabo mejor el baile.. jajajaja
4.39922402227933E+017	156036283	@PMGA_ jajajajaaj mi papa hiso lo mismo!
4.39919718741598E+017	156036283	@colon_andre papi lo grabo en su cel
4.39916531775193E+017	156036283	mi tia llorando viendo el video esto no pasa
4.39914762923938E+017	156036283	sigo viendo el baile de nosotras y sigo llorando
4.39894334671163E+017	156036283	@vivivazq cuando no?
4.39882108656714E+017	156036283	@yandiaflandia vivi durmio como 18 ...
4.39849262936244E+017	156036283	¿vas hacer algo hoy?
4.39835674968355E+017	156036283	mil cosas que terminar y yo sigo aqui en mi cama esperando que de alguna manera se hagan ...
